#BLTrackFile test
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
20.5134 -23.5777 0.317094 0 0 0 0.140582 13 257 1 0 1 
-11.8473 10.4774 0.370595 0 0 0 0.131894 13 258 1 0 1 
-28.0857 23.7868 0.33338 0 0 0 0.136105 13 259 1 0 1 
17.6604 -21.6012 0.27969 0 0 0 0.148998 13 260 1 0 1 
-2.79978 12.1811 0.305824 0 0 0 0.142533 13 261 1 0 1 
7.22563 -12.9879 0.343049 0 0 0 0.136059 13 262 1 0 1 
11.4167 30.586 0.340564 0 0 0 0.132789 13 263 1 0 1 
26.1878 17.7367 0.331841 0 0 0 0.139231 13 264 1 0 1 
14.2804 1.90183 0.313197 0 0 0 0.143058 13 265 1 0 1 
-3.18057 6.96001 0.329105 0 0 0 0.142071 13 266 1 0 1 
0.582715 -6.83235 0.28783 0 0 0 0.146845 13 267 1 0 1 
-9.80196 31.2954 0.296186 0 0 0 0.14307 13 268 1 0 1 
13.3576 0.0900433 0.315448 0 0 0 0.140482 13 269 1 0 1 
-25.4508 8.09612 0.351736 0 0 0 0.135542 13 270 1 0 1 
-25.1911 -31.7519 0.346449 0 0 0 0.13546 13 271 1 0 1 
7.32595 13.386 0.313066 0 0 0 0.141417 13 272 1 0 1 
-8.41093 3.50225 0.304472 0 0 0 0.144824 13 273 1 0 1 
-1.69448 -6.82869 0.359744 0 0 0 0.134556 13 274 1 0 1 
2.39185 3.38482 0.319157 0 0 0 0.140558 13 275 1 0 1 
26.5086 1.68133 0.280075 0 0 0 0.148021 13 276 1 0 1 
23.0233 7.11686 0.324888 0 0 0 0.139991 13 277 1 0 1 
-1.40793 -7.53121 0.308455 0 0 0 0.14322 13 278 1 0 1 
-13.7215 -29.2321 0.30468 0 0 0 0.143597 13 279 1 0 1 
-14.7399 -14.5301 0.363702 0 0 0 0.132251 13 280 1 0 1 
-17.9215 5.45963 0.312199 0 0 0 0.141569 13 281 1 0 1 
7.08843 10.6096 0.280745 0 0 0 0.146469 13 282 1 0 1 
-8.03789 -3.28389 0.312588 0 0 0 0.142071 13 283 1 0 1 
1.61872 -19.8816 0.334322 0 0 0 0.137951 13 284 1 0 1 
10.6534 -8.34288 0.316198 0 0 0 0.142309 13 285 1 0 1 
-38.7104 -13.1999 0.359107 0 0 0 0.132849 13 286 1 0 1 
-11.9728 -14.4121 0.34869 0 0 0 0.13619 13 287 1 0 1 
6.05323 -20.0464 0.285639 0 0 0 0.146305 13 288 1 0 1 
-8.32035 -7.85362 0.348208 0 0 0 0.133686 13 289 1 0 1 
-14.579 -11.6842 0.342142 0 0 0 0.137249 13 290 1 0 1 
-5.54508 -11.252 0.299194 0 0 0 0.144445 13 291 1 0 1 
11.0726 -0.322682 0.313092 0 0 0 0.142254 13 292 1 0 1 
6.15407 -10.3678 0.336104 0 0 0 0.135685 13 293 1 0 1 
-13.6101 19.0411 0.307726 0 0 0 0.142904 13 294 1 0 1 
0.624757 -11.6715 0.323614 0 0 0 0.141492 13 295 1 0 1 
-0.804638 5.0784 0.326075 0 0 0 0.138749 13 296 1 0 1 
6.55037 -4.79026 0.284226 0 0 0 0.146766 13 297 1 0 1 
8.40055 10.1042 0.32373 0 0 0 0.139593 13 298 1 0 1 
21.0309 3.11251 0.346113 0 0 0 0.135862 13 299 1 0 1 
5.32247 -0.306155 0.266139 0 0 0 0.153376 13 300 1 0 1 
14.7258 7.89316 0.336746 0 0 0 0.13567 13 301 1 0 1 
-7.7272 -11.8882 0.327698 0 0 0 0.139345 13 302 1 0 1 
11.9194 2.64073 0.335632 0 0 0 0.137359 13 303 1 0 1 
-6.98016 -20.6908 0.309276 0 0 0 0.141853 13 304 1 0 1 
24.3129 12.1239 0.363959 0 0 0 0.133338 13 305 1 0 1 
13.9893 8.43555 0.34099 0 0 0 0.13615 13 306 1 0 1 
14.089 0.462492 0.381291 0 0 0 0.129109 13 307 1 0 1 
-6.77687 -20.1578 0.309806 0 0 0 0.142065 13 308 1 0 1 
8.86975 -1.34468 0.340569 0 0 0 0.137781 13 309 1 0 1 
9.10709 -12.7962 0.297902 0 0 0 0.13997 13 310 1 0 1 
13.6678 -16.4114 0.340206 0 0 0 0.135804 13 311 1 0 1 
9.11818 -9.06631 0.299362 0 0 0 0.142455 13 312 1 0 1 
-29.7118 12.4207 0.375691 0 0 0 0.128231 13 313 1 0 1 
14.9575 -29.934 0.323954 0 0 0 0.13922 13 314 1 0 1 
-3.50326 12.5919 0.329369 0 0 0 0.140071 13 315 1 0 1 
30.36 23.3826 0.270646 0 0 0 0.15174 13 316 1 0 1 
7.70034 11.913 0.316161 0 0 0 0.14136 13 317 1 0 1 
9.66011 -13.1655 0.336085 0 0 0 0.136436 13 318 1 0 1 
13.5416 -12.3428 0.367192 0 0 0 0.13044 13 319 1 0 1 
2.43516 8.05779 0.335927 0 0 0 0.135817 13 320 1 0 1 
8.05508 8.44431 0.308276 0 0 0 0.141028 13 321 1 0 1 
23.8994 -13.2498 0.31915 0 0 0 0.139333 13 322 1 0 1 
-9.92491 -0.034975 0.321183 0 0 0 0.142003 13 323 1 0 1 
-15.1197 -4.90909 0.323699 0 0 0 0.13974 13 324 1 0 1 
-10.9214 -12.7855 0.296092 0 0 0 0.143277 13 325 1 0 1 
-8.8833 31.1125 0.313076 0 0 0 0.140615 13 326 1 0 1 
-8.61487 -7.58349 0.332056 0 0 0 0.139539 13 327 1 0 1 
20.0693 6.96537 0.347695 0 0 0 0.135658 13 328 1 0 1 
18.4322 -13.4527 0.313128 0 0 0 0.140965 13 329 1 0 1 
-6.66478 11.0234 0.314858 0 0 0 0.141368 13 330 1 0 1 
8.69376 -16.1038 0.251663 0 0 0 0.158894 13 331 1 0 1 
-2.02761 34.5481 0.299484 0 0 0 0.144886 13 332 1 0 1 
-11.7711 4.58318 0.292821 0 0 0 0.146606 13 333 1 0 1 
-10.7981 7.21282 0.301955 0 0 0 0.144592 13 334 1 0 1 
18.7728 13.4925 0.311224 0 0 0 0.141135 13 335 1 0 1 
4.24068 40.0676 0.345187 0 0 0 0.137483 13 336 1 0 1 
6.59182 -16.6633 0.26802 0 0 0 0.150954 13 337 1 0 1 
-5.59938 15.7598 0.289067 0 0 0 0.144676 13 338 1 0 1 
7.35378 4.81559 0.291055 0 0 0 0.143162 13 339 1 0 1 
-9.72913 -7.40081 0.318954 0 0 0 0.138549 13 340 1 0 1 
2.42338 -8.78444 0.319923 0 0 0 0.140951 13 341 1 0 1 
